Nt,J,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,tests_num,corr,select_conf,baseline_items,total_items,expert_cost,theta,filetrs_num
5,3,10,0.48956000000000005,0.14231249558629772,0.0,0.0,Machines-Ensemble,88.41600852991955,3.4505953926555284,69.21890239350351,10.275993618222575,86.03604057131655,3.9272873376077992,50.0,0.3,0.95,20,1000,50,0.3,4
5,3,10,0.10949999999999999,0.040788356181635954,5.25476,0.8886112886971447,Hybrid-Ensemble,97.9329529298887,1.5360093539908128,87.14415372953232,3.9240243531383436,96.8157446526135,1.1926458980224444,50.0,0.3,0.95,20,1000,50,0.3,4
5,3,10,0.9620799999999999,0.2854997611207407,0.0,0.0,Machines-Ensemble,71.86118057975482,8.811726076243847,71.458639422649,8.852410159214136,71.78469763192227,8.643793970739972,50.0,0.5,0.95,20,1000,50,0.3,4
5,3,10,0.14171999999999998,0.05464248896234505,6.18684,1.9428158776374052,Hybrid-Ensemble,97.46498210788207,1.8376092498408685,83.39117846432985,6.32065405240764,95.9130313851322,1.5879229501640892,50.0,0.5,0.95,20,1000,50,0.3,4
5,3,10,1.59802,0.5573740392232132,0.0,0.0,Machines-Ensemble,52.03618540446168,18.435579569612777,61.58598870208201,13.999462932978672,52.11558499959372,16.755340779474448,50.0,0.7,0.95,20,1000,50,0.3,4
5,3,10,0.20687999999999998,0.10591102681024293,8.77846,2.8725603785473335,Hybrid-Ensemble,96.74716339876574,2.800473613866869,74.85171578487359,9.04194003264459,94.08492189102168,2.9364930959636673,50.0,0.7,0.95,20,1000,50,0.3,4
5,3,10,1.7951,0.6596299038097045,0.0,0.0,Machines-Ensemble,45.96742361101747,26.553019351510308,59.060408689686554,17.12706926437239,44.87164923470517,22.049185230469934,50.0,0.9,0.95,20,1000,50,0.3,4
5,3,10,0.24169999999999997,0.10694657544774401,8.85286,2.8004824942141666,Hybrid-Ensemble,95.61652331479048,3.0322151434751006,74.71605368527575,10.647565923794051,93.04271205171536,3.044097772641088,50.0,0.9,0.95,20,1000,50,0.3,4
5,3,10,0.32539999999999997,0.12843940205404258,21.56038,10.013291646386817,Crowd-Ensemble,97.8311636264297,2.160024147879465,57.81737381003141,13.796239774475959,91.23551942868215,3.1048894418081754,0.0,0.0,0.95,20,1000,70,0.3,4
5,3,10,0.12752,0.09607710237096037,0.0,0.0,Machines-Ensemble,99.417653175044,0.5722171466544337,76.09707915509962,12.931645331745644,96.40439738808857,2.6067662832768566,50.0,0.0,0.95,20,1000,70,0.3,4
5,3,10,0.08632,0.06890063570098609,4.68422,2.997559909593134,Hybrid-Ensemble,98.18407184583688,2.0343912386941634,91.98009314625072,8.518561815324238,97.47378743794394,1.9819410668792206,50.0,0.0,0.95,20,1000,70,0.3,4
5,3,10,0.30754000000000004,0.13077694139258647,0.0,0.0,Machines-Ensemble,94.29912385107161,2.0630493726849117,71.84479255793596,11.460343614084692,91.46573657921661,3.30832715052305,50.0,0.2,0.95,20,1000,70,0.3,4
5,3,10,0.11194000000000001,0.061995938576651935,5.8988200000000015,3.0779116796295503,Hybrid-Ensemble,97.81715850132977,1.9782223074152083,88.52134684780826,7.739090114501842,96.7860278780213,1.7844610577076407,50.0,0.2,0.95,20,1000,70,0.3,4
5,3,10,0.5213599999999999,0.12985757736843853,0.0,0.0,Machines-Ensemble,87.30416268633222,3.101564467574141,69.58076015326057,10.24815657490937,85.15863713924558,3.62626787489695,50.0,0.3,0.95,20,1000,70,0.3,4
5,3,10,0.11764,0.04909165305833569,5.919800000000001,1.2496033290608664,Hybrid-Ensemble,97.5475577335065,1.7591550792147443,88.06166265009611,4.00173055745439,96.57547133192716,1.485640433711681,50.0,0.3,0.95,20,1000,70,0.3,4
5,3,10,1.02688,0.29438278754030445,0.0,0.0,Machines-Ensemble,69.88058300649016,8.82043756377547,70.70604695645724,9.015881024301333,69.87850864805054,8.527427658719699,50.0,0.5,0.95,20,1000,70,0.3,4
5,3,10,0.15806,0.06758325532260191,8.91682,3.8228012330750336,Hybrid-Ensemble,97.55865089729313,1.9540731912442693,79.77997486096679,8.931228303531695,95.45587071191486,1.9469550602637586,50.0,0.5,0.95,20,1000,70,0.3,4
5,3,10,1.58494,0.5261870925820967,0.0,0.0,Machines-Ensemble,52.025429455199685,17.737840826688945,62.84986564600137,13.515245235464132,52.306912430527674,16.25521263749238,50.0,0.7,0.95,20,1000,70,0.3,4
5,3,10,0.20732000000000003,0.09453431969396088,10.36216,3.743393398295188,Hybrid-Ensemble,96.51273563962643,2.686576746169399,75.90572682008921,8.881607425016684,94.0466447681397,2.7310665663455294,50.0,0.7,0.95,20,1000,70,0.3,4
5,3,10,1.80078,0.5511775136922769,0.0,0.0,Machines-Ensemble,43.964224461296745,19.589910005381675,65.78153491128481,15.042653590702805,44.55693341688188,17.735650398298542,50.0,0.9,0.95,20,1000,70,0.3,4
5,3,10,0.19269999999999998,0.08527420477494937,10.88084,3.3948956234912435,Hybrid-Ensemble,97.19450822036556,2.3632117737414644,74.4531286382798,8.448930654415685,94.43703620406077,2.456251291630452,50.0,0.9,0.95,20,1000,70,0.3,4
5,3,10,0.29654,0.1321267891080382,26.091279999999998,15.25762492793685,Crowd-Ensemble,97.63850549389585,2.362433655783368,62.443890278315,16.192027869189435,91.9418128489533,3.2191622466552077,0.0,0.0,0.95,20,1000,100,0.3,4
